date,open,high,low,close,volume,volume(KAS)
10/19/2022,0.001954,0.00236,0.001918,0.001935,3 K,
10/20/2022,0.001935,0.002125,0.001719,0.001721,4.3 K,
10/21/2022,0.001721,0.001918,0.001518,0.001523,4.1 K,
10/22/2022,0.001524,0.001727,0.001318,0.001533,3.9 K,
10/23/2022,0.001533,0.001922,0.001531,0.001537,4.5 K,
10/24/2022,0.001537,0.001763,0.001529,0.001761,2.8 K,
10/25/2022,0.001761,0.001937,0.001535,0.00174,1.4 K,
10/26/2022,0.00174,0.00201,0.001541,0.001808,1.9 K,
10/27/2022,0.001808,0.002095,0.001614,0.001869,3.9 K,
10/28/2022,0.001869,0.002085,0.00162,0.001827,4.3 K,
10/29/2022,0.001826,0.002072,0.001606,0.001855,2.7 K,
10/30/2022,0.001855,0.002087,0.001653,0.001665,2.2 K,
10/31/2022,0.001665,0.002084,0.001642,0.001855,1.6 K,
11/01/2022,0.001856,0.00208,0.001823,0.001846,1.4 K,
11/02/2022,0.001845,0.002868,0.001841,0.002663,6.7 K,
11/03/2022,0.002663,0.003066,0.002446,0.002621,10 K,
11/04/2022,0.002621,0.003444,0.002435,0.00303,11.7 K,
11/05/2022,0.003031,0.004655,0.003029,0.00402,11.6 K,
11/06/2022,0.004231,0.0045,0.003409,0.003831,33.7 K,
11/07/2022,0.003832,0.00446,0.003822,0.00419,18.8 K,
11/08/2022,0.004181,0.004422,0.003713,0.003907,19.6 K,
11/09/2022,0.003913,0.004353,0.003429,0.003703,10 K,
11/10/2022,0.003703,0.003941,0.003118,0.003629,13.4 K,
11/11/2022,0.003656,0.004814,0.003358,0.004039,14.6 K,
11/12/2022,0.004047,0.004728,0.003949,0.004111,20.5 K,
11/13/2022,0.00409,0.004227,0.003858,0.003862,6.9 K,
11/14/2022,0.003864,0.004777,0.003802,0.004573,6.3 K,
11/15/2022,0.004573,0.007231,0.004485,0.006484,26.4 K,
11/16/2022,0.006479,0.007187,0.005223,0.006079,53.5 K,
11/17/2022,0.005747,0.00685,0.005583,0.006494,30.2 K,
11/18/2022,0.006494,0.006769,0.00616,0.006175,23.1 K,
11/19/2022,0.006175,0.006601,0.005862,0.006349,19.8 K,
11/20/2022,0.006012,0.006824,0.005995,0.006687,9.2 K,
11/21/2022,0.006687,0.008595,0.006682,0.007809,26.2 K,
11/22/2022,0.007655,0.007655,0.006291,0.006481,51.4 K,
11/23/2022,0.006465,0.007931,0.006272,0.007269,21.8 K,
11/24/2022,0.0073,0.00793,0.007075,0.007314,24.3 K,
11/25/2022,0.007314,0.007819,0.007089,0.007633,14.9 K,
11/26/2022,0.007633,0.009589,0.007602,0.009416,40.5 K,
11/27/2022,0.008917,0.009444,0.00846,0.009058,53.2 K,
11/28/2022,0.008722,0.009785,0.00872,0.00921,33.7 K,
11/29/2022,0.0092,0.009726,0.00788,0.00876,64 K,
11/30/2022,0.00876,0.00928,0.00851,0.008884,38.4 K,
12/01/2022,0.008877,0.009143,0.008583,0.008643,974.7 K,
12/02/2022,0.008624,0.008775,0.007944,0.008406,1.2 m,
12/03/2022,0.008363,0.008363,0.007124,0.007349,1.1 m,
12/04/2022,0.007208,0.007651,0.006556,0.006556,1.1 m,
12/05/2022,0.006842,0.007587,0.006651,0.007244,1.2 m,
12/06/2022,0.007244,0.008282,0.007157,0.008137,759.2 K,
12/07/2022,0.008048,0.008259,0.007416,0.007685,944 K,
12/08/2022,0.007647,0.00788,0.007406,0.007547,654.2 K,
12/09/2022,0.007526,0.007532,0.007098,0.007237,543.3 K,
12/10/2022,0.007237,0.007698,0.007105,0.007367,638.7 K,
12/11/2022,0.007367,0.007715,0.007165,0.007208,602.5 K,
12/12/2022,0.007208,0.007311,0.006951,0.007003,391.4 K,
12/13/2022,0.007003,0.007146,0.006648,0.006941,436.4 K,
12/14/2022,0.006918,0.006987,0.006005,0.006258,608.8 K,
12/15/2022,0.006303,0.006801,0.006085,0.006131,809.7 K,
12/16/2022,0.00614,0.006205,0.005689,0.005709,537.2 K,
12/17/2022,0.005672,0.005959,0.005102,0.005112,815.9 K,
12/18/2022,0.005112,0.006164,0.004913,0.006164,689.8 K,
12/19/2022,0.006139,0.006378,0.005512,0.005534,715.9 K,
