date,purple_price,blue_price,light_blue_price,green_price,yellow_price,orange_price,red_price
2022-10-13,14463.005029681599,24349.735554340485,28956.87876965643,34435.726261146665,40951.210680041666,48699.47110868096,68871.45252229333
2022-10-14,14479.744250846812,24377.917499096922,28990.392938875393,34475.581549635266,40998.606872682794,48755.83499819384,68951.16309927053
2022-10-15,14496.499513685225,24406.126451415028,29023.93922567886,34515.47503258387,41046.04848644751,48812.25290283005,69030.95006516774
2022-10-16,14513.270830378147,24434.362431803107,29057.517654455438,34555.40673899559,41093.53555582653,48868.7248636062,69110.81347799118
2022-10-17,14530.058213113714,24462.62546078095,29091.12824960742,34595.3766978898,41141.06811532989,48925.25092156189,69190.7533957796
2022-10-18,14546.861674086906,24490.91555887987,29124.77103555078,34635.38493830216,41188.646199487004,48981.831117759735,69270.76987660432
2022-10-19,14563.681225499513,24519.232746642658,29158.446036715155,34675.43148928456,41236.269842846596,49038.46549328531,69350.86297856912
2022-10-20,14580.516879560173,24547.577044623617,29192.153277543868,34715.51637990517,41283.939079976735,49095.154089247226,69431.03275981035
2022-10-21,14597.368648484362,24575.948473388577,29225.892782493953,34755.63963924848,41331.6539454649,49151.896946777146,69511.27927849696
2022-10-22,14614.236544494386,24604.347053514855,29259.6645760361,34795.80129641521,41379.41447391787,49208.6941070297,69591.60259283042
2022-10-23,14631.120579819408,24632.77280559132,29293.468682654737,34836.0013805224,41427.22069996185,49265.545611182635,69672.0027610448
2022-10-24,14648.020766695423,24661.225750218346,29327.305126847972,34876.23992070339,41475.0726582424,49322.451500436684,69752.47984140678
2022-10-25,14664.93711736527,24689.70590800782,29361.173933127615,34916.51694610779,41522.970383424465,49379.411816015636,69833.03389221558
2022-10-26,14681.869644078653,24718.21329958319,29395.075126019212,34956.832485901556,41570.91391019239,49436.42659916637,69913.66497180311
2022-10-27,14698.81835909211,24746.747945579413,29429.008730062003,34997.18656926693,41618.9032732499,49493.49589115882,69994.37313853386
2022-10-28,14715.78327466905,24775.309866643012,29462.97476980898,35037.5792254025,41666.93850732018,49550.61973328601,70075.158450805
2022-10-29,14732.764403079724,24803.89908343203,29496.973269826838,35078.010483523154,41715.019647145775,49607.79816686405,70156.02096704631
2022-10-30,14749.761756601249,24832.515616616067,29531.004254696003,35118.48037286012,41763.14672748867,49665.03123323212,70236.96074572024
2022-10-31,14766.775347517609,24861.159486876284,29565.067749010672,35158.988922660974,41811.31978313028,49722.31897375256,70317.97784532195
2022-11-01,14783.805188119644,24889.83071490539,29599.16377737875,35199.53616218963,41859.53884887148,49779.661429810774,70399.07232437926
2022-11-02,14800.85129070506,24918.529321407652,29633.292364421904,35240.12212072634,41907.80395953254,49837.0586428153,70480.24424145267
2022-11-03,14817.913667578443,24947.255327098912,29667.45353477556,35280.746827567724,41956.11514995321,49894.51065419782,70561.49365513545
2022-11-04,14834.992331051239,24976.008752706573,29701.647313088888,35321.41031202676,42004.472454992705,49952.01750541313,70642.82062405352
2022-11-05,14852.087293441771,25004.789618969608,29735.87372402483,35362.11260343279,42052.87590952967,50009.5792379392,70724.22520686558
2022-11-06,14869.198567075242,25033.597946638572,29770.132792260094,35402.85373113153,42101.32554846224,50067.19589327714,70805.70746226306
2022-11-07,14886.32616428373,25062.433756475606,29804.424542485158,35443.63372448507,42149.82140670804,50124.867512951205,70887.26744897015
2022-11-08,14903.470097406202,25091.297069254433,29838.74899940429,35484.45261287191,42198.36351920417,50182.59413850886,70968.90522574382
2022-11-09,14920.630378788497,25120.187905760362,29873.106187735524,35525.3104256869,42246.9519209072,50240.37581152072,71050.6208513738
2022-11-10,14937.807020783346,25149.106286790295,29907.49613221068,35566.2071923413,42295.58664679323,50298.21257358058,71132.4143846826
2022-11-11,14955.000035750378,25178.052233152746,29941.918857575394,35607.142942262806,42344.26773185785,50356.104466305485,71214.28588452561
2022-11-12,14972.2094360561,25207.02576566782,29976.37438858908,35648.11770489548,42392.99521111617,50414.05153133563,71296.23540979096
2022-11-13,14989.435234073922,25236.026905167226,30010.862750024964,35689.131509699815,42441.769119602825,50472.053810334444,71378.26301939963
2022-11-14,15006.67744218414,25265.055672494287,30045.38396667006,35730.184386152716,42490.58949237194,50530.11134498857,71460.36877230543
2022-11-15,15023.936072773962,25294.112088503945,30079.938063325226,35771.27636374753,42539.45636449722,50588.22417700788,71542.55272749506
2022-11-16,15041.21113823749,25323.19617406276,30114.525064805115,35812.407471994025,42588.369771071906,50646.39234812551,71624.81494398805
2022-11-17,15058.50265097573,25352.30795004891,30149.144995938208,35853.577740418405,42637.32974720875,50704.61590009781,71707.15548083681
2022-11-18,15075.810623396592,25381.4474373522,30183.797881566814,35894.78719856332,42686.33632804009,50762.89487470439,71789.57439712663
2022-11-19,15093.135067914905,25410.61465687408,30218.48374654708,35936.03587598787,42735.389548717816,50821.229313748154,71872.07175197575
2022-11-20,15110.475996952398,25439.809629527615,30253.202615748974,35977.323802267616,42784.4894444134,50879.619259055224,71954.64760453523
2022-11-21,15127.833422937716,25469.032376237526,30287.954514056324,36018.651006994565,42833.63605031786,50938.064752475046,72037.30201398913
2022-11-22,15145.207358306428,25498.282917940178,30322.7394663668,36060.01751977721,42882.82940164184,50996.56583588035,72120.03503955442
2022-11-23,15162.597815501014,25527.561275583572,30357.55749759192,36101.42337024051,42932.069533615526,51055.12255116714,72202.84674048102
2022-11-24,15180.004806970874,25556.86747012737,30392.408632657054,36142.86858802589,42981.35648148874,51113.734940254726,72285.73717605179
2022-11-25,15197.428345172344,25586.201522542895,30427.29289650146,36184.353202791295,43030.69028053091,51172.40304508578,72368.70640558259
2022-11-26,15214.868442568668,25615.563453813123,30462.210314078235,36225.877244211115,43080.070966031024,51231.12690762623,72451.75448842223
2022-11-27,15232.325111630027,25644.953284932686,30497.16091035435,36267.44074197626,43129.49857329773,51289.906569865365,72534.88148395251
2022-11-28,15249.79836483354,25674.37103690791,30532.14471031067,36309.043725794145,43178.973137659304,51348.74207381581,72618.08745158829
2022-11-29,15267.288214663255,25703.81673075678,30567.161738941937,36350.6862253887,43228.49469446365,51407.63346151355,72701.3724507774
2022-11-30,15284.794673610151,25733.290387508954,30602.212021256775,36392.36827050036,43278.0632790783,51466.5807750179,72784.73654100072
2022-12-01,15302.317754172149,25762.792028205782,30637.295582277693,36434.08989088607,43327.678926890425,51525.58405641155,72868.17978177214
2022-12-02,15319.857468854116,25792.321673900296,30672.412447041123,36475.851116319325,43377.34167330689,51584.643347800586,72951.70223263865
2022-12-03,15337.413830167854,25821.879345657217,30707.562640597363,36517.65197659013,43427.051553754165,51643.75869131442,73035.30395318026
2022-12-04,15354.986850632118,25851.465064552955,30742.74618801065,36559.49250150505,43476.80860367843,51702.9301291059,73118.9850030101
2022-12-05,15372.57654277261,25881.078851675633,30777.96311435911,36601.372720887164,43526.612858545515,51762.15770335125,73202.74544177433
2022-12-06,15390.182919121975,25910.72072812506,30813.213444734803,36643.29266457613,43576.46435384095,51821.44145625011,73286.58532915227
2022-12-07,15407.805992219826,25940.390715012767,30848.4972042437,36685.25236242816,43626.36312506995,51880.78143002553,73370.50472485632
2022-12-08,15425.445774612723,25970.088833461985,30883.814418005706,36727.25184431601,43676.309207757404,51940.17766692396,73454.50368863202
2022-12-09,15443.102278854185,25999.815104607667,30919.16511115465,36769.29114012901,43726.30263744793,51999.63020921533,73538.58228025802
2022-12-10,15460.775517504693,26029.569549596483,30954.54930883831,36811.37027977308,43776.343449705855,52059.13909919296,73622.74055954616
2022-12-11,15478.46550313169,26059.35218958682,30989.967036218382,36853.48929317069,43826.43168011519,52118.704379173636,73706.97858634139
2022-12-12,15496.172248309593,26089.163045748817,31025.41831847055,36895.64821026094,43876.56736427972,52178.32609149763,73791.29642052187
2022-12-13,15513.895765619776,26119.00213926431,31060.903180784408,36937.84706099947,43926.75053782292,52238.00427852861,73875.69412199894
2022-12-14,15531.63606765059,26148.869491326896,31096.421648363525,36980.08587535855,43976.98123638801,52297.738982653784,73960.1717507171
2022-12-15,15549.393166997359,26178.765123141904,31131.973746425436,37022.36468332705,44027.25949563798,52357.5302462838,74044.7293666541
2022-12-16,15567.167076262383,26208.68905592641,31167.559500201634,37064.68351491044,44077.585351255555,52417.37811185281,74129.36702982087
2022-12-17,15584.95780805494,26238.641310909243,31203.17893493759,37107.04240013081,44127.95883894321,52477.28262181848,74214.08480026163
