date,predicted_price,predicted_price_smooth
2025-05-05,159453.08028240132,158304.52263873635
2025-05-06,159514.1817396817,158425.4885488309
2025-05-07,159575.28319696206,158540.46801364401
2025-05-08,159697.55727882794,158656.1769401624
2025-05-09,159819.90255635584,158772.54950178176
2025-05-10,160064.80681184062,158901.77523278765
2025-05-11,160126.08632918945,159024.20634242785
2025-05-12,160187.36584653828,159140.52229283887
2025-05-13,160309.99619037597,159257.4696825926
2025-05-14,160432.6978717376,159374.9925015071
2025-05-15,160678.3153606043,159505.32478741684
2025-05-16,160739.7732927565,159628.7696379508
2025-05-17,160801.2312249087,159746.0157966466
2025-05-18,161047.2773353086,159876.1419505128
2025-05-19,161170.4076382387,160005.56851928539
2025-05-20,161293.60947755925,160134.37261511278
2025-05-21,161355.24617963095,160256.4599715646
2025-05-22,161540.22787910642,160384.8367623188
2025-05-23,161663.64449821843,160512.71753590877
2025-05-24,161725.38863285506,160633.9846456034
2025-05-25,161787.13276749168,160749.29945779222
2025-05-26,161910.6927153817,160865.4387835512
2025-05-27,162158.02776087352,160994.6976812834
2025-05-28,162281.80291542353,161123.40820469742
2025-05-29,162405.64986248434,161251.63237047612
2025-05-30,162529.56863054165,161379.42599648266
2025-05-31,162591.56393931733,161500.63979076614
2025-06-01,162777.62174363734,161628.3379860533
2025-06-02,162901.75614568076,161755.67980201603
2025-06-03,163025.96248273653,161882.7080700881
2025-06-04,163150.24078332397,162009.4613414117
2025-06-05,163212.41592964617,162129.75680023516
2025-06-06,163274.5910759684,162244.24022780848
2025-06-07,163399.01338919884,162359.7175439475
2025-06-08,163648.074191573,162488.55320871007
2025-06-09,163772.71273781176,162616.96916162025
2025-06-10,163897.42341882072,162745.01458734032
2025-06-11,163959.81484099213,162866.4946127055
2025-06-12,164022.20626316353,162982.0657777513
2025-06-13,164147.06129940637,163098.5653299168
2025-06-14,164271.98855612255,163215.90765253737
2025-06-15,164396.9880618937,163334.01569347302
2025-06-16,164522.05984530394,163452.8201086561
2025-06-17,164772.4203594139,163584.7801337319
2025-06-18,164897.70914731757,163716.07303509046
2025-06-19,164960.38973729115,163840.50470531054
2025-06-20,165023.07032726472,163958.76126750596
2025-06-21,165148.5039278717,164077.73553354252
2025-06-22,165399.5885055566,164209.9208307439
2025-06-23,165462.41402272854,164335.1701499424
2025-06-24,165650.96310942792,164466.74944589095
2025-06-25,165776.75924278723,164597.7504255806
2025-06-26,165839.69360570947,164721.94474359349
2025-06-27,166028.56931561936,164852.60720079608
2025-06-28,166154.58331241526,164982.80481195802
2025-06-29,166280.66998769162,165112.59132953137
2025-06-30,166343.74967890733,165235.70716446897
2025-07-01,166406.82937012304,165352.81938503438
2025-07-02,166533.06148839486,165470.84359537042
2025-07-03,166659.36637119463,165589.69587295287
2025-07-04,166912.19454517023,165721.94574017462
2025-07-05,167038.7178937545,165853.62295553263
2025-07-06,167102.0160077203,165978.4622607514
2025-07-07,167291.98325768329,166109.81436044458
2025-07-08,167418.72533047403,166240.70545744753
2025-07-09,167482.1328496325,166364.84819666602
2025-07-10,167545.54036879097,166482.91741387852
2025-07-11,167799.3894569537,166614.56461818604
2025-07-12,167926.4235642954,166745.75051279698
2025-07-13,167989.97715822404,166870.1731773397
2025-07-14,168053.53075215267,166988.508934821
2025-07-15,168307.96448445963,167120.45448978487
2025-07-16,168371.62778545718,167245.5718193521
2025-07-17,168435.29108645473,167364.54374606238
2025-07-18,168562.69088405016,167484.35845986116
2025-07-19,168690.1639060315,167604.9390044782
2025-07-20,168817.71018119264,167726.21612214964
2025-07-21,169073.0226062542,167860.8967705601
2025-07-22,169136.90571001355,167988.49766450544
