date,open,high,low,close,volume,days_since_genesis,fair_price,bottom_price,historical_fair_price_smooth
2011-06-16,19.49,19.49,19.49,19.49,0,894,1.5199738257989128,0.6383890068355433,1.5199713507285326
2011-06-17,17.0,17.0,17.0,17.0,0,895,1.5298956702352113,0.6425561814987888,1.5298941826852257
2011-06-18,15.681,15.681,15.681,15.681,0,896,1.539871092641481,0.6467458589094219,1.5398704119970348
2011-06-19,16.89,16.89,16.89,16.89,0,897,1.5499003220572545,0.6509581352640469,1.5499002851146009
2011-06-20,17.51,17.51,17.51,17.51,0,898,1.55998358824406,0.6551931070625052,1.559984048488565
2011-06-21,17.51,17.51,17.51,17.51,0,899,1.5701211216868893,0.6594508711084935,1.5701219485695679
2011-06-22,17.51,17.51,17.51,17.51,0,900,1.5803131535956658,0.6637315245101796,1.5803142318082508
2011-06-23,17.51,17.51,17.51,17.51,0,901,1.5905599159067159,0.6680351646808206,1.5905611446552548
2011-06-24,17.51,17.51,17.51,17.51,0,902,1.6008616412842382,0.67236188933938,1.6008629335612208
2011-06-25,17.51,17.51,17.51,17.51,0,903,1.6112185631217775,0.6767117965111465,1.6112198449767898
2011-06-26,17.51,17.51,17.51,17.51,0,904,1.6216309155436985,0.6810849845283533,1.6216321253526027
2011-06-27,16.45,16.45,16.45,16.45,0,905,1.632098933406661,0.6854815520307975,1.6321000211393009
2011-06-28,16.75,16.75,16.75,16.75,0,906,1.6426228523010957,0.6899015979664602,1.642623778787525
2011-06-29,16.9498,16.9498,16.9498,16.9498,0,907,1.653202908552684,0.6943452215921273,1.6532036447479164
2011-06-30,16.845,16.845,16.845,16.845,0,908,1.6638393392238355,0.6988125224740109,1.663839865471116
2011-07-01,16.101,16.101,16.101,16.101,0,909,1.6745323821151692,0.703303600488371,1.6745326874077646
2011-07-02,15.397,15.397,15.397,15.397,0,910,1.6852822757669959,0.7078185558221383,1.6852823570085032
2011-07-03,15.4,15.4,15.4,15.4,0,911,1.696089259460801,0.7123574889735365,1.6960891207239732
2011-07-04,15.4405,15.4405,15.4405,15.4405,0,912,1.7069535732207297,0.7169205007527064,1.7069532250048152
2011-07-05,13.86,13.86,13.86,13.86,0,913,1.7178754578150723,0.7215076922823304,1.7178749163016707
2011-07-06,12.9069,12.9069,12.9069,12.9069,0,914,1.7288551547577518,0.7261191649982557,1.72885444106518
2011-07-07,14.7835,14.7835,14.7835,14.7835,0,915,1.7398929063098127,0.7307550206501213,1.7398920457459848
2011-07-08,14.7761,14.7761,14.7761,14.7761,0,916,1.7509889554809113,0.7354153613019827,1.7509879767947258
2011-07-09,14.314,14.314,14.314,14.314,0,917,1.7621435460308061,0.7401002893329386,1.762142480662044
2011-07-10,14.38,14.38,14.38,14.38,0,918,1.773356922470851,0.7448099074377574,1.7733558037985806
2011-07-11,14.9,14.9,14.9,14.9,0,919,1.7846293300654903,0.7495443186275059,1.784628192654943
2011-07-12,14.2091,14.2091,14.2091,14.2091,0,920,1.7959610148337524,0.754303626230176,1.7959598751697619
2011-07-13,14.0094,14.0094,14.0094,14.0094,0,921,1.8073522235507462,0.7590879338913133,1.8073510816313032
2011-07-14,13.951,13.951,13.951,13.951,0,922,1.8188032037491626,0.7638973455746483,1.8188020595722578
2011-07-15,13.99,13.99,13.99,13.99,0,923,1.8303142037207687,0.7687319655627228,1.830313057284394
2011-07-16,13.81,13.81,13.81,13.81,0,924,1.8418854725179128,0.7735918984575233,1.8418843238200593
2011-07-17,13.7191,13.7191,13.7191,13.7191,0,925,1.8535172599550245,0.7784772491811103,1.8535161089936847
2011-07-18,13.16,13.16,13.16,13.16,0,926,1.8652098166101174,0.7833881229762493,1.865208663383284
2011-07-19,13.48,13.48,13.48,13.48,0,927,1.8769633938262966,0.7883246254070445,1.8769622383319624
2011-07-20,13.8502,13.8502,13.8502,13.8502,0,928,1.8887782437132612,0.7932868623595697,1.8887770859494193
2011-07-21,13.6894,13.6894,13.6894,13.6894,0,929,1.9006546191488138,0.7982749400425018,1.9006534591134578
2011-07-22,13.61,13.61,13.61,13.61,0,930,1.912592773780369,0.8032889649877549,1.9125916114714936
2011-07-23,13.6954,13.6954,13.6954,13.6954,0,931,1.9245929620264635,0.8083290440511146,1.924591797442063
2011-07-24,13.68,13.68,13.68,13.68,0,932,1.936655439078266,0.8133952844128717,1.9366542722163351
2011-07-25,13.98,13.98,13.98,13.98,0,933,1.948780460901092,0.8184877935784586,1.9487792917596258
