date,days_since_genesis,support_price,resistance_price,fair_price,predicted_price
2025-04-03,1243,0.4369822452671636,0.8867207915833377,0.622479913275252,0.622479913275252
2025-04-04,1244,0.43846718533057716,0.8897340197928244,0.6245952059945876,0.6245952059945876
2025-04-05,1245,0.43995597218585003,0.8927550538808325,0.626715978457526,0.626715978457526
2025-04-06,1246,0.4414486126964357,0.8957839077746256,0.6288422404410362,0.6288422404410362
2025-04-07,1247,0.4429451137325081,0.8988205954151043,0.6309740017316606,0.6309740017316606
2025-04-08,1248,0.4444454821709631,0.9018651307568092,0.633111272125517,0.633111272125517
2025-04-09,1249,0.44594972489541884,0.9049175277679221,0.635254061428299,0.635254061428299
2025-04-10,1250,0.44745784879621786,0.9079778004302694,0.6374023794552791,0.6374023794552791
2025-04-11,1251,0.4489698607704275,0.9110459627393238,0.6395562360313094,0.6395562360313094
2025-04-12,1252,0.4504857677218418,0.9141220287042074,0.641715640990824,0.641715640990824
2025-04-13,1253,0.452005576560982,0.9172060123476935,0.6438806041778399,0.6438806041778399
2025-04-14,1254,0.453529294205098,0.9202979277062089,0.646051135445959,0.646051135445959
2025-04-15,1255,0.45505692757816996,0.9233977888298371,0.6482272446583707,0.6482272446583707
2025-04-16,1256,0.4565884836109085,0.9265056097823196,0.6504089416878516,0.6504089416878516
2025-04-17,1257,0.45812396924075677,0.9296214046410592,0.652596236416769,0.652596236416769
2025-04-18,1258,0.4596633914118913,0.9327451874971219,0.6547891387370817,0.6547891387370817
2025-04-19,1259,0.46120675707522296,0.9358769724552392,0.6569876585503417,0.6569876585503417
2025-04-20,1260,0.4627540731883985,0.9390167736338106,0.6591918057676961,0.6591918057676961
2025-04-21,1261,0.46430534671580137,0.9421646051649063,0.6614015903098887,0.6614015903098887
2025-04-22,1262,0.46586058462855323,0.945320481194269,0.6636170221072613,0.6636170221072613
2025-04-23,1263,0.467419793904515,0.9484844158813169,0.6658381110997562,0.6658381110997562
2025-04-24,1264,0.46898298152828766,0.9516564233991455,0.668064867236917,0.668064867236917
2025-04-25,1265,0.47055015449121407,0.9548365179345298,0.6702973004778908,0.6702973004778908
2025-04-26,1266,0.47212131979137967,0.958024713687928,0.6725354207914295,0.6725354207914295
2025-04-27,1267,0.47369648443361384,0.9612210248734819,0.6747792381558917,0.6747792381558917
2025-04-28,1268,0.4752756554294907,0.9644254657190209,0.6770287625592442,0.6770287625592442
2025-04-29,1269,0.47685883979733107,0.9676380504660635,0.679284003999064,0.679284003999064
2025-04-30,1270,0.47844604456220274,0.9708587933698202,0.6815449724825393,0.6815449724825393
2025-05-01,1271,0.4800372767559221,0.9740877086991949,0.683811678026472,0.683811678026472
2025-05-02,1272,0.4816325434170555,0.9773248107367889,0.6860841306572788,0.6860841306572788
2025-05-03,1273,0.48323185159091986,0.9805701137789014,0.6883623404109928,0.6883623404109928
2025-05-04,1274,0.48483520832958404,0.9838236321355329,0.6906463173332651,0.6906463173332651
2025-05-05,1275,0.48644262069187044,0.9870853801303879,0.6929360714793674,0.6929360714793674
2025-05-06,1276,0.48805409574335534,0.9903553721008762,0.6952316129141923,0.6952316129141923
2025-05-07,1277,0.48966964055637086,0.9936336223981156,0.6975329517122557,0.6975329517122557
2025-05-08,1278,0.49128926221000563,0.9969201453869352,0.6998400979576984,0.6998400979576984
2025-05-09,1279,0.49291296779010596,1.0002149554458761,0.7021530617442877,0.7021530617442877
2025-05-10,1280,0.4945407643892774,1.0035180669671957,0.7044718531754189,0.7044718531754189
2025-05-11,1281,0.4961726591068854,1.0068294943568674,0.7067964823641173,0.7067964823641173
2025-05-12,1282,0.4978086590490567,1.010149252034586,0.709126959433039,0.709126959433039
2025-05-13,1283,0.4994487713286804,1.0134773544337679,0.7114632945144739,0.7114632945144739
2025-05-14,1284,0.5010930030654094,1.016813816001554,0.7138054977503462,0.7138054977503462
2025-05-15,1285,0.502741361385661,1.020158651198812,0.7161535792922162,0.7161535792922162
2025-05-16,1286,0.5043938534226187,1.0235118745001397,0.7185075493012828,0.7185075493012828
2025-05-17,1287,0.5060504863162327,1.0268735003938654,0.7208674179483839,0.7208674179483839
2025-05-18,1288,0.5077112672132219,1.030243543382052,0.723233195413999,0.723233195413999
2025-05-19,1289,0.5093762032670738,1.0336220179804985,0.7256048918882504,0.7256048918882504
2025-05-20,1290,0.511045301638047,1.0370089387187424,0.7279825175709048,0.7279825175709048
2025-05-21,1291,0.5127185694931712,1.0404043201400621,0.7303660826713753,0.7303660826713753
2025-05-22,1292,0.5143960140062492,1.0438081768014795,0.7327555974087224,0.7327555974087224
2025-05-23,1293,0.516077642357858,1.047220523273762,0.7351510720116564,0.7351510720116564
2025-05-24,1294,0.517763461735349,1.0506413741414247,0.7375525167185387,0.7375525167185387
2025-05-25,1295,0.5194534793328502,1.054070744002733,0.7399599417773829,0.7399599417773829
2025-05-26,1296,0.5211477023512668,1.0575086474697046,0.7423733574458573,0.7423733574458573
2025-05-27,1297,0.5228461379982827,1.0609550991681131,0.7447927739912863,0.7447927739912863
2025-05-28,1298,0.5245487934883613,1.0644101137374877,0.7472182016906513,0.7472182016906513
2025-05-29,1299,0.5262556760427466,1.0678737058311185,0.7496496508305934,0.7496496508305934
2025-05-30,1300,0.5279667928894649,1.0713458901160566,0.7520871317074145,0.7520871317074145
2025-05-31,1301,0.5296821512633253,1.0748266812731178,0.7545306546270787,0.7545306546270787
2025-06-01,1302,0.5314017584059212,1.0783160939968837,0.7569802299052142,0.7569802299052142
2025-06-02,1303,0.5331256215656314,1.081814142995705,0.7594358678671153,0.7594358678671153
