date,predicted_price
2024-07-08,0.11542532309344539
2024-07-09,0.11569285796793966
2024-07-10,0.11596065806159554
2024-07-11,0.11622872328646036
2024-07-12,0.11649705355472643
2024-07-13,0.11676564877873023
2024-07-14,0.11703450887095324
2024-07-15,0.11730363374402089
2024-07-16,0.11757302331070148
2024-07-17,0.11784267748390743
2024-07-18,0.11811259617669272
2024-07-19,0.11838277930225426
2024-07-20,0.11865322677393061
2024-07-21,0.11892393850520173
2024-07-22,0.11919491440968855
2024-07-23,0.11946615440115253
2024-07-24,0.11973765839349554
2024-07-25,0.12000942630075881
2024-07-26,0.12028145803712341
2024-07-27,0.12055375351690888
2024-07-28,0.1208263126545735
2024-07-29,0.1210991353647138
2024-07-30,0.12137222156206398
2024-07-31,0.12164557116149527
2024-08-01,0.12191918407801666
2024-08-02,0.1221930602267727
2024-08-03,0.12246719952304458
2024-08-04,0.12274160188224933
2024-08-05,0.12301626721993908
2024-08-06,0.12329119545180134
2024-08-07,0.12356638649365773
