date,open,high,low,close,volume,volume(KAS),days_since_genesis,support_price,resistance_price,fair_price,historical_fair_price_smooth
2022-05-25,0.00023,0.00023,0.00023,0.00023,10.9 K,,199,0.0001923889248235939,0.00039039402986989856,0.00027405745321778803,0.0002740358567531879
2022-05-26,0.00023,0.00023,0.000184,0.0002,9.6 K,,200,0.00019650034469510366,0.0003987368893853183,0.0002799141586395172,0.0002799011897861783
2022-05-27,0.0002,0.000208,0.000171,0.000181,5.7 K,,201,0.0002006784618369374,0.0004072150904551801,0.00028586587412514846,0.000285859951601175
2022-05-28,0.000181,0.000205,0.000178,0.000202,11.2 K,,202,0.00020492401832623465,0.00041583013889633547,0.0002919136567613679,0.0002919133523566364
2022-05-29,0.000202,0.000202,0.000198,0.000202,41 K,,203,0.00020923776075226858,0.00042458354968162,0.0002980585700623824,0.00029806260221102105
2022-05-30,0.000202,0.000202,0.000173,0.000173,44 K,,204,0.0002136204402213406,0.00043347684694978615,0.0003043016839768922,0.0003043089113227873
2022-05-31,0.000173,0.000194,0.000173,0.000189,38 K,,205,0.00021807281236165595,0.00044251156401539665,0.00031064407489503625,0.00031065348985039363
2022-06-01,0.000189,0.000189,0.000188,0.000189,40.2 K,,206,0.0002225956373281809,0.0004516892433786805,0.00031708682565531105,0.00031709754795229846
2022-06-02,0.000189,0.000189,0.00018,0.000184,40.9 K,,207,0.0002271896798074811,0.0004610114367353511,0.00032363102555146297,0.00032364229578696026
2022-06-03,0.000184,0.0005,0.000184,0.0004,52.9 K,,208,0.00023185570902254152,0.00047047970498638675,0.0003302777703393544,0.00033028894351283745
2022-06-04,0.0004,0.000749,0.0004,0.00059,134.9 K,,209,0.00023659449873756824,0.0004800956182477744,0.0003370281622438036,0.0003370387012883885
2022-06-05,0.00059,0.000616,0.000466,0.000557,152.5 K,,210,0.00024140682726277223,0.0004898607558602169,0.00034388330996539934,0.0003438927792720717
2022-06-06,0.000557,0.000559,0.000475,0.0005,123.4 K,,211,0.0002462934774591348,0.000499776706398803,0.0003508443286872894,0.0003508523876223458
2022-06-07,0.0005,0.0005,0.000352,0.0004,98.7 K,,212,0.00025125523674315593,0.0005098450676826426,0.00035791234008194416,0.000357918736497669
2022-06-08,0.0004,0.000448,0.00038,0.00044,92.3 K,,213,0.0002562928970915842,0.0005200674467844646,0.0003650884723178949,0.00036509303605649973
2022-06-09,0.00044,0.000544,0.00042,0.0005,99.7 K,,214,0.00026140725504612974,0.0005304454600401805,0.0003723738600664467,0.00037237649645729655
2022-06-10,0.0005,0.000558,0.00044,0.000558,130.9 K,,215,0.00026659911171815975,0.0005409807330584127,0.0003797696445083682,0.00037977032785851787
2022-06-11,0.000558,0.00056,0.000491,0.000491,131.8 K,,216,0.0002718692727933767,0.0005516749007299871,0.0003872769733405544,0.0003872757404186221
2022-06-12,0.000491,0.000519,0.000449,0.000484,115.4 K,,217,0.00027721854853647956,0.0005625296072373915,0.0003948970007826677,0.0003948939442960678
2022-06-13,0.000484,0.000485,0.000425,0.000433,97.6 K,,218,0.0002826477537958081,0.0005735465060642007,0.0004026308875837531,0.0004026261496493132
2022-06-14,0.000433,0.000477,0.000388,0.000388,91.8 K,,219,0.00028815770800797043,0.0005847272600044653,0.0004104798010288302,0.00041047356663681685
2022-06-15,0.000388,0.000392,0.000311,0.000314,83.9 K,,220,0.00029374923520245386,0.0005960735411720693,0.00041844491494546143,0.0004184374054170372
2022-06-16,0.000314,0.000431,0.000314,0.00039,91.5 K,,221,0.00029942316400621935,0.0006075870310100522,0.0004265274097102969,0.00042651887614843275
2022-06-17,0.00039,0.000425,0.000364,0.000421,85.5 K,,222,0.0003051803276482794,0.0006192694202998989,0.0004347284722555954,0.00043471918898946185
2022-06-18,0.000421,0.000421,0.000326,0.000357,79.8 K,,223,0.00031102156396426003,0.0006311224091707969,0.000443049296075723,0.000443039554098583
2022-06-19,0.000357,0.000369,0.00029,0.00033,77.4 K,,224,0.00031694771540094626,0.0006431477071088594,0.00045149108123362827,0.0004514811816342459
2022-06-20,0.00033,0.000339,0.000283,0.000317,66.8 K,,225,0.00032295962902081194,0.0006553470329663179,0.0004600550343672947,0.00046004512512270627
2022-06-21,0.000317,0.000379,0.000284,0.000372,71.5 K,,226,0.00032905815650653377,0.0006677221149706812,0.00046874236869617094,0.0004687324498398777
2022-06-22,0.000372,0.0006,0.000372,0.00045,106.3 K,,227,0.0003352441541654889,0.0006802746907338631,0.00047755430402757806,0.0004775443755928171
2022-06-23,0.00045,0.00045,0.000342,0.000365,88.6 K,,228,0.00034151848293423825,0.0006930065072612784,0.00048649206676309526,0.00048648212878284257
2022-06-24,0.000365,0.000389,0.000347,0.000373,78 K,,229,0.0003478820083829928,0.0007059193209609071,0.0004955568899049229,0.0004955469424118965
