date,open,high,low,close,volume
08/05/2011,10.750000,10.750000,10.750000,10.750000,0
08/06/2011,9.799900,9.799900,9.799900,9.799900,0
08/07/2011,6.550000,6.550000,6.550000,6.550000,0
08/08/2011,7.900000,7.900000,7.900000,7.900000,0
08/09/2011,7.799900,7.799900,7.799900,7.799900,0
08/10/2011,9.990000,9.990000,9.990000,9.990000,0
08/11/2011,9.980000,9.980000,9.980000,9.980000,0
08/12/2011,9.462500,9.462500,9.462500,9.462500,0
08/13/2011,9.460500,9.460500,9.460500,9.460500,0
08/14/2011,10.131000,10.131000,10.131000,10.131000,0
08/15/2011,10.795700,10.795700,10.795700,10.795700,0
08/16/2011,11.149800,11.149800,11.149800,11.149800,0
08/17/2011,10.964100,10.964100,10.964100,10.964100,0
08/18/2011,10.945600,10.945600,10.945600,10.945600,0
08/19/2011,10.830000,10.830000,10.830000,10.830000,0
08/20/2011,11.650000,11.650000,11.650000,11.650000,0
08/21/2011,11.453000,11.453000,11.453000,11.453000,0
08/22/2011,11.311300,11.311300,11.311300,11.311300,0
08/23/2011,10.895000,10.895000,10.895000,10.895000,0
08/24/2011,10.940000,10.940000,10.940000,10.940000,0
08/25/2011,10.850600,10.850600,10.850600,10.850600,0
08/26/2011,9.657000,9.657000,9.657000,9.657000,0
08/27/2011,8.179400,8.179400,8.179400,8.179400,0
08/28/2011,8.590200,8.590200,8.590200,8.590200,0
08/29/2011,9.070100,9.070100,9.070100,9.070100,0
08/30/2011,8.969000,8.969000,8.969000,8.969000,0
08/31/2011,8.791300,8.791300,8.791300,8.791300,0
09/01/2011,8.199500,8.199500,8.199500,8.199500,0
09/02/2011,8.210000,8.210000,8.210000,8.210000,0
09/03/2011,8.640000,8.640000,8.640000,8.640000,0
09/04/2011,8.480000,8.480000,8.480000,8.480000,0
09/05/2011,8.178000,8.178000,8.178000,8.178000,0
09/06/2011,7.611000,7.611000,7.611000,7.611000,0
09/07/2011,6.862800,6.862800,6.862800,6.862800,0
09/08/2011,7.186400,7.186400,7.186400,7.186400,0
09/09/2011,6.530000,6.530000,6.530000,6.530000,0
09/10/2011,5.030000,5.030000,5.030000,5.030000,0
09/11/2011,4.773900,4.773900,4.773900,4.773900,0
09/12/2011,5.864400,5.864400,5.864400,5.864400,0
09/13/2011,6.078000,6.078000,6.078000,6.078000,0
09/14/2011,5.800000,5.800000,5.800000,5.800000,0
